participant,group,dob,dot,age,gender,raw_gs1,raw_gs2,raw_gs3,raw_gs4,raw_gs5,raw_vn1,raw_vn2,raw_vn3,raw_vn4,raw_vn5,raw_co1,raw_co2,raw_co3,raw_co4,raw_co5,gs1,gs2,gs3,gs4,gs5,gs_average,vn1,vn2,vn3,vn4,vn5,vn_average,co1,co2,co3,co4,co5,co_average,crossed_gs1,crossed_gs2,crossed_gs3,crossed_gs4,crossed_gs5,crossed_vn1,crossed_vn2,crossed_vn3,crossed_vn4,crossed_vn5,crossed_co1,crossed_co2,crossed_co3,crossed_co4,crossed_co5,crossed_gs_average,crossed_vn_average,crossed_co_average,oq1,oq2,oq3,oq4,oq5,oq6,oq7,oq8,oq9,oq10,crossed_oq1,crossed_oq2,crossed_oq3,crossed_oq4,crossed_oq5,crossed_q6,crossed_oq7,crossed_oq8,crossed_oq9,crossed_oq10,crossed_ave_year_2,crossed_ave_reception,ave_open,crossed_ave_open,control_gs,control_vn,control_cq,control_oq
1,2,07/05/2013,02/03/2020,2491,M,D,B,A,A,C,D,C,D,B,C,B,A,,C,A,0.233,0.5,0.467,0.1,0.167,0.293,0.467,0.3,0.167,0.267,0.333,0.307,0.276,0.433,0,0.167,0.733,0.322,0,0.04,0.24,0.76,0.16,0.48,0.16,0,0.32,0.32,0.16,0.08,0,0,0.16,0.24,0.256,0.08,0.133333333,0.266666667,0.266666667,0.2,0.133333333,0.133333333,0.033333333,0.033333333,0.133333333,0.266666667,0.04,0,0,0.44,0,0,0,0,0.48,0.92,0.268571429,,0.133333333,0.268571429,0.166666667,0.8,0.966666667,0.266666667
2,2,19/08/2013,02/03/2020,2387,M,C,B,C,C,D,B,C,C,B,D,C,A,D,D,A,0.5,0.5,0.233,0.633,0.333,0.44,0.2,0.3,0.533,0.267,0.367,0.333,0.69,0.433,0.655,0.333,0.733,0.569,0.2,0.04,0.08,0.08,0.08,0.36,0.16,0.48,0.32,0.32,0.84,0.08,0,0.08,0.16,0.096,0.328,0.232,0.5,0.266666667,0.266666667,0.2,0.033333333,0.066666667,0.033333333,0.033333333,0.033333333,0.066666667,0.28,0,0,0.44,0,0.04,0,0,0.04,0.92,0.245714286,,0.120833333,0.245714286,0.533333333,0.033333333,0.966666667,0.266666667
3,2,23/07/2013,02/03/2020,2414,M,C,D,A,C,A,D,C,A,C,D,,C,C,C,A,0.5,0.067,0.467,0.633,0.333,0.4,0.467,0.3,0.167,0.233,0.367,0.307,0,0.367,0.207,0.167,0.733,0.295,0.2,0.16,0.24,0.08,0.56,0.48,0.16,0.32,0.04,0.32,0,0.48,1,0,0.16,0.248,0.264,0.328,0.5,0.1,0.466666667,0.166666667,0.166666667,0.033333333,0.2,0.166666667,0.1,0.066666667,0.28,0,0,0,0.04,0,0,0,0,0.04,0.051428571,,0.175,0.051428571,0.533333333,0.033333333,0.966666667,0.266666667
4,2,16/05/2013,02/03/2020,2482,M,B,B,A,C,D,C,A,C,D,A,C,A,D,D,B,0.1,0.5,0.467,0.633,0.333,0.407,0.2,0.233,0.533,0.233,0.167,0.273,0.69,0.433,0.655,0.333,0.1,0.442,0.08,0.04,0.24,0.08,0.08,0.04,0.12,0.48,0.4,0.08,0.84,0.08,0,0.08,0.12,0.104,0.224,0.224,0.033333333,0.1,0.466666667,0.033333333,0.033333333,0.033333333,0.1,0.033333333,0.516129032,0.133333333,0,0,0,0.04,0,0.08,0.04,0,0.24,0.92,0.188571429,,0.114516129,0.188571429,0.133333333,0.8,0.966666667,0.033333333
5,2,25/06/2013,02/03/2020,2442,F,A,B,C,A,D,D,C,A,A,C,C,C,D,D,A,0.167,0.5,0.233,0.1,0.333,0.267,0.467,0.3,0.167,0.267,0.333,0.307,0.69,0.367,0.655,0.333,0.733,0.556,0.72,0.04,0.08,0.76,0.08,0.48,0.16,0.32,0.24,0.32,0.84,0.48,0,0.08,0.16,0.336,0.304,0.312,0.5,0.266666667,0.466666667,0.033333333,0.133333333,0.1,0.2,0.166666667,0.516129032,0.033333333,0.28,0,0,0,0,0,0,0,0.24,0.92,0.205714286,,0.210349462,0.205714286,0.533333333,0.8,0.966666667,0.133333333
7,2,16/05/2013,02/03/2020,2482,F,C,C,A,C,D,D,A,C,D,C,C,A,A,B,C,0.5,0.3,0.467,0.633,0.333,0.447,0.467,0.233,0.533,0.233,0.333,0.36,0.69,0.433,0.103,0.3,0.1,0.325,0.2,0.28,0.24,0.08,0.08,0.48,0.12,0.48,0.4,0.32,0.84,0.08,0,0.52,0.28,0.176,0.36,0.344,0.5,0.266666667,0.266666667,0.2,0.166666667,0.066666667,0.066666667,0.033333333,0.516129032,0.033333333,0.28,0,0,0.4,0.04,0.04,0.04,0,0.24,0.92,0.28,,0.197849462,0.28,0.166666667,0.8,0.966666667,0.266666667
8,2,16/01/2013,02/03/2020,2602,F,D,C,C,C,B,D,C,A,B,C,B,A,D,D,A,0.233,0.3,0.233,0.633,0.167,0.313,0.467,0.3,0.167,0.267,0.333,0.307,0.276,0.433,0.655,0.333,0.733,0.486,0,0.28,0.08,0.08,0.2,0.48,0.16,0.32,0.32,0.32,0.16,0.08,0,0.08,0.16,0.128,0.32,0.096,0.5,0.1,0.266666667,0.2,0.033333333,0.133333333,0.033333333,0.033333333,0.516129032,0.266666667,0.28,0,0,0.44,0,0,0,0,0.24,0.92,0.268571429,,0.214516129,0.268571429,0.533333333,0.8,0.966666667,0.266666667
9,2,23/03/2013,02/03/2020,2536,M,D,A,B,C,B,C,D,C,A,B,C,B,B,B,D,0.233,0.133,0.2,0.633,0.167,0.273,0.2,0.233,0.533,0.267,0.133,0.273,0.69,0.067,0.034,0.3,0.067,0.231,0,0.52,0.56,0.08,0.2,0.04,0.12,0.48,0.24,0.28,0.84,0.44,0,0.52,0.44,0.272,0.232,0.448,0.166666667,0.1,0.066666667,0.2,0.033333333,0.133333333,0.066666667,0.066666667,0.1,0.266666667,0.52,0,0,0.44,0,0,0.08,0,0,0.92,0.28,,0.129166667,0.28,0.133333333,0.8,0.966666667,0.266666667
10,2,02/02/2013,02/03/2020,2585,M,C,B,A,C,A,A,D,C,D,D,C,A,D,C,B,0.5,0.5,0.467,0.633,0.333,0.487,0.133,0.233,0.533,0.233,0.367,0.3,0.69,0.433,0.655,0.167,0.1,0.409,0.2,0.04,0.24,0.08,0.56,0.12,0.12,0.48,0.4,0.32,0.84,0.08,0,0,0.12,0.224,0.288,0.208,0.5,0.033333333,0.266666667,0.2,0.166666667,0.1,0.066666667,0.033333333,0.516129032,0.2,0.28,0.04,0,0.4,0.04,0,0,0.04,0.24,0,0.137142857,,0.222849462,0.137142857,0.533333333,0.8,0.966666667,0.033333333
11,2,17/10/2012,02/03/2020,2693,F,C,C,A,A,C,D,B,D,C,D,C,A,D,D,C,0.5,0.3,0.467,0.1,0.167,0.307,0.467,0.233,0.167,0.233,0.367,0.293,0.69,0.433,0.655,0.333,0.1,0.442,0.2,0.28,0.24,0.76,0.16,0.48,0.6,0,0.04,0.32,0.84,0.08,0,0.08,0.28,0.328,0.288,0.256,0.166666667,0.033333333,0.266666667,0.166666667,0.166666667,0.066666667,0.2,0.066666667,0.516129032,0.266666667,0.52,0,0,0,0.04,0.24,0,0,0.24,0.92,0.28,,0.202016129,0.28,0.533333333,0.133333333,0.033333333,0.266666667
